depto,mupio,sector,hhid,upm2,agreg3
guatemala,18.0,106.0,388.0,1181106.0,7856.8095703125
guatemala,18.0,106.0,389.0,1181106.0,14839.9150390625
guatemala,18.0,106.0,390.0,1181106.0,36522.6328125
guatemala,18.0,106.0,391.0,1181106.0,10791.330078125
guatemala,18.0,106.0,392.0,1181106.0,10042.123046875
guatemala,18.0,110.0,393.0,1181110.0,19538.791015625
guatemala,18.0,110.0,394.0,1181110.0,17607.240234375
guatemala,18.0,110.0,395.0,1181110.0,19252.818359375
guatemala,18.0,110.0,396.0,1181110.0,16450.447265625
guatemala,18.0,110.0,397.0,1181110.0,30235.505859375
guatemala,18.0,110.0,398.0,1181110.0,26814.94140625
guatemala,18.0,110.0,399.0,1181110.0,22594.4921875
guatemala,18.0,110.0,400.0,1181110.0,23620.21484375
guatemala,18.0,110.0,401.0,1181110.0,11181.044921875
guatemala,18.0,136.0,402.0,1181136.0,7230.04638671875
guatemala,18.0,136.0,403.0,1181136.0,3889.85693359375
guatemala,18.0,136.0,404.0,1181136.0,6618.326171875
guatemala,18.0,136.0,405.0,1181136.0,5161.86279296875
guatemala,18.0,136.0,406.0,1181136.0,3886.969482421875
guatemala,18.0,136.0,407.0,1181136.0,6395.99755859375
guatemala,18.0,136.0,408.0,1181136.0,9674.9921875
guatemala,18.0,136.0,409.0,1181136.0,4488.9091796875
guatemala,18.0,137.0,410.0,1181137.0,18208.30078125
guatemala,18.0,137.0,411.0,1181137.0,14476.1982421875
guatemala,18.0,137.0,412.0,1181137.0,5113.63525390625
guatemala,18.0,137.0,413.0,1181137.0,7664.6171875
guatemala,18.0,137.0,414.0,1181137.0,8440.4013671875
guatemala,18.0,137.0,415.0,1181137.0,3061.4306640625
guatemala,18.0,170.0,416.0,1181170.0,9801.4912109375
guatemala,18.0,170.0,417.0,1181170.0,13873.0078125
guatemala,18.0,170.0,418.0,1181170.0,17164.46484375
guatemala,18.0,170.0,419.0,1181170.0,23038.44140625
guatemala,18.0,170.0,420.0,1181170.0,3709.19189453125
guatemala,18.0,170.0,421.0,1181170.0,18473.3671875
guatemala,18.0,170.0,422.0,1181170.0,5196.49560546875
