depto,mupio,sector,hhid,upm2,agreg3,consumption_per_capita_per_day
escuintla,5,33,2046,5052033.0,7008.6005859375,13.207670430116531
escuintla,5,33,2047,5052033.0,1969.489501953125,3.71149246392555
escuintla,5,33,2048,5052033.0,5280.83056640625,9.951697041821031
escuintla,5,33,2049,5052033.0,2887.08154296875,5.440689772065663
escuintla,5,33,2050,5052033.0,12012.115234375,22.636767103341075
escuintla,5,33,2051,5052033.0,3099.952392578125,5.841843752998855
escuintla,5,33,2052,5052033.0,3985.712158203125,7.5110533079142145
escuintla,6,7,2053,5061007.0,3843.052001953125,7.242211004211029
escuintla,6,7,2054,5061007.0,8662.099609375,16.323680522331077
escuintla,6,7,2055,5061007.0,3820.345703125,7.199421105153099
escuintla,6,7,2056,5061007.0,7043.50390625,13.273445551119897
escuintla,6,7,2057,5061007.0,6964.3017578125,13.124189524743022
escuintla,6,7,2058,5061007.0,3804.654541015625,7.169851193832716
escuintla,6,7,2059,5061007.0,5479.4375,10.325970749086576
escuintla,6,7,2060,5061007.0,3987.754638671875,7.514902351465837
escuintla,6,7,2061,5061007.0,12221.8916015625,23.032089548651893
escuintla,6,7,2062,5061007.0,4661.25341796875,8.784107209549362
escuintla,6,7,2063,5061007.0,8635.5732421875,16.273691724820814
escuintla,6,23,2064,5062023.0,8124.8349609375,15.311208157369546
escuintla,6,23,2065,5062023.0,5040.046875,9.497941459369725
escuintla,6,23,2066,5062023.0,3316.552001953125,6.250024561826372
escuintla,6,23,2067,5062023.0,8322.8984375,15.68445772275774
escuintla,6,23,2068,5062023.0,5198.6064453125,9.796746124088433
escuintla,6,23,2069,5062023.0,4172.5791015625,7.863203066187783
escuintla,6,23,2070,5062023.0,8289.4853515625,15.621490940487234
escuintla,6,23,2071,5062023.0,3249.5400390625,6.123740875107165
escuintla,6,23,2072,5062023.0,6382.35400390625,12.02751208580288
escuintla,6,23,2073,5062023.0,4820.9404296875,9.08503653158595
